epoch,optimizer_steps,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,drug_gate_mean,joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,joint_attention_confidence_mean,gradient_norm_last_before_clip,epoch_duration_sec,lr
1,44,False,False,0.990502099504206,1.0895523087904422,0.09905021139203943,0.0,0.0,0.0,0.3000000118994343,0.3000000118994343,9.999999746591594e-05,9.999999746591594e-05,0.026242710066925006,5.283633708953857,1.8506510322913527,5.9260857797183374e-05
2,88,False,False,0.5282890147523162,0.5811179162275477,0.052828902378006616,0.0,0.0,0.0,0.3000000118994343,0.3000000118994343,9.999999746591594e-05,9.999999746591594e-05,0.025416462742977094,25.438343048095703,0.9569203592836857,5.9260857797183374e-05
3,132,False,False,0.4583720790643448,0.5042092901380149,0.04583720894973071,0.0,0.0,0.0,0.3000000118994343,0.3000000118994343,9.999999746591594e-05,9.999999746591594e-05,0.025546793188809747,6.647636890411377,1.005472338758409,5.9260857797183374e-05
4,176,False,False,0.4267503338151575,0.4694253664303892,0.04267503401775718,0.0,0.0,0.0,0.3000000118994343,0.3000000118994343,9.999999746591594e-05,9.999999746591594e-05,0.025473953174676354,13.991267204284668,1.0395184606313705,5.9260857797183374e-05
5,220,False,False,0.4071478769102554,0.4478626667571936,0.04071478835574737,0.0,0.0,0.0,0.3000000118994343,0.3000000118994343,9.999999746591594e-05,9.999999746591594e-05,0.025633407378514838,7.529132843017578,0.9677632777020335,5.9260857797183374e-05
6,264,True,False,0.35220369847079624,0.39470103730202755,0.040732665941941366,0.0009917089594335803,0.0007729631101211659,0.0,0.3000000118994343,0.3000000118994343,0.2999607186604612,0.25257693134917275,0.04703525049437954,9.682310104370117,1.0615866836160421,5.9260857797183374e-05
7,308,True,False,0.2393513877513045,0.28047463754605095,0.03973549902116698,0.0007123436968205338,0.0006754065299049971,0.0,0.3000000118994343,0.3000000118994343,0.3000078043093374,0.2555726448895482,0.06544082877526763,7.369852066040039,1.0710159502923489,5.9260857797183374e-05
8,352,True,False,0.20405570633932438,0.24590568235322022,0.04036928152848872,0.0008236450398029485,0.0006570509625718016,0.0,0.3000000118994343,0.3000000118994343,0.3001591981295597,0.253490266927175,0.07900609688083059,31.575624465942383,1.093467011116445,5.9260857797183374e-05
9,396,True,False,0.18049529336965175,0.22211640339184874,0.04029606038746832,0.0007623494634226105,0.0005627003341216831,0.0,0.3000000118994343,0.3000000118994343,0.3002770912591361,0.2542416303973743,0.08304232619017675,3.5542616844177246,1.0119086606428027,5.9260857797183374e-05
10,440,True,False,0.1616841878458519,0.20265090592364046,0.03978559076839778,0.0006323302474561904,0.0005487972339232352,0.0,0.3000000118994343,0.3000000118994343,0.3004006775458109,0.2526183783513649,0.10145048995418665,10.888372421264648,1.000061860308051,5.9260857797183374e-05
11,484,True,True,0.14055693834708394,0.18033800010555623,0.03872754797137927,0.0005669694133607514,0.00048654400627674545,0.0,0.3001753369952813,0.29993588426592027,0.3006941525032492,0.2550420850526113,0.11081135612595094,9.882426261901855,0.9282061886042356,5.9260857797183374e-05
12,528,True,True,0.13524578712689847,0.17456133400882318,0.038255214345904405,0.0006039330903813511,0.00045639792424225303,0.0,0.30040869315608587,0.2998580920580187,0.301039341508031,0.2576744782550645,0.11890936422296436,25.86363410949707,0.9119895920157433,5.9260857797183374e-05
13,572,True,True,0.13202628995074592,0.17213408118050064,0.03916304792471303,0.0005045858736439976,0.0004401582951979138,0.0,0.3006136316793987,0.29981495884408,0.3013569294997943,0.2540724407323981,0.12812744371735402,5.165065765380859,0.9622887680307031,5.9260857797183374e-05
14,616,True,True,0.1232290228394193,0.16265464922043119,0.038438808399978375,0.0005566791463543396,0.0004301396966584395,0.0,0.3008418334248347,0.2997753749975348,0.3016929999611845,0.25058561724701645,0.16910813510783348,13.129890441894531,0.9710274692624807,5.9260857797183374e-05
15,660,True,True,0.1231058395181887,0.16300442182884464,0.038867628485974616,0.0005797396143493664,0.00045121420835881346,0.0,0.30108122063852416,0.2997280451695153,0.3020518722836824,0.2542246217724222,0.18253141424520927,7.346658229827881,0.9747952474281192,5.9260857797183374e-05
16,704,True,True,0.10931654784424057,0.14861343943423586,0.03837558652317636,0.000528040455813878,0.00039326400659416504,0.0,0.30128519224682054,0.2996958589192723,0.30235714608050407,0.25354668417434334,0.19870128590322084,6.522034645080566,1.1251651579514146,5.9260857797183374e-05
17,748,True,True,0.10347247793276389,0.14251232976910014,0.038207358534569094,0.00045999133599587216,0.0003725018728657277,0.0,0.30146045423439594,0.2996768913585444,0.3026299191174677,0.25817869133438565,0.21236731281273638,6.922407150268555,1.09445720911026,5.9260857797183374e-05
18,792,True,True,0.10664250047422685,0.14659203821373382,0.03905552167887405,0.000460425948911725,0.00043358997286663796,0.0,0.3016639046405912,0.29969481187222713,0.30293122431538055,0.25506741674721045,0.23291127878623108,3.4985294342041016,1.083169586956501,5.9260857797183374e-05
19,836,True,True,0.09887410567591777,0.13832708262511637,0.038575442034309196,0.0004975085597220567,0.00038002581137282524,0.0,0.30184136750764295,0.29968989785294475,0.30319266898770475,0.2572301014467907,0.2536896658511184,13.839323043823242,1.0468216482549906,5.9260857797183374e-05
20,880,True,True,0.08951604036091039,0.12873242283357508,0.038391096066727866,0.00042382720698328104,0.0004014588798714679,0.0,0.3020152399095438,0.2997295632071758,0.3034597242776986,0.25597554322747257,0.2816393776916658,6.094725131988525,1.0950764305889606,5.9260857797183374e-05
21,924,True,True,0.08514663478741781,0.12392499737691415,0.037974311320297216,0.00041931801126674395,0.0003847336931044308,0.0,0.3021686452844278,0.2996680013461961,0.3036847578847275,0.25418731395062494,0.2743402669200216,10.607611656188965,0.9750702232122421,5.9260857797183374e-05
22,968,True,True,0.07935534104344821,0.11812256829557202,0.03799618113472966,0.00040066608906340014,0.00037037995683586477,0.0,0.30233326570419383,0.2996930095894088,0.30393276651370754,0.25378884798002466,0.3042499779193272,5.232622146606445,1.0992737840861082,5.9260857797183374e-05
23,1012,True,True,0.07844626317536234,0.11762151052772978,0.03834446650193222,0.00044354838889864337,0.00038723233231683214,0.0,0.30255507391108705,0.29966066823382265,0.3042590206296187,0.2540850015138832,0.30799693817100154,6.523645877838135,1.1175063522532582,5.9260857797183374e-05
24,1056,True,True,0.07428601768379645,0.11272174027522376,0.037672444331680356,0.00040350617948926084,0.00035977273389215626,0.0,0.3027044673538621,0.29962925355528136,0.30448019947336763,0.25492111887692803,0.33727209842295325,12.697147369384766,1.0766900815069675,5.9260857797183374e-05
25,1100,True,True,0.07103634649451743,0.11009409947920654,0.03832195905966532,0.0003644307762377026,0.0003713636683833977,0.0,0.30287122365330427,0.2996477097154652,0.30472670364930143,0.2568851172429665,0.32959715106880194,7.856357574462891,1.0322006624192,5.9260857797183374e-05
26,1144,True,True,0.06948726075868335,0.10876179374472311,0.03856688132795065,0.0003627498378259964,0.00034490217650954045,0.0,0.30302789638586697,0.2996322265223308,0.3049571760888139,0.24996144411325713,0.34709349841019155,9.1697416305542,1.0353977400809526,5.9260857797183374e-05
27,1188,True,True,0.0612755516887227,0.09976642322247956,0.03778745902495998,0.0003593859507706825,0.00034402573944029646,0.0,0.30319418530579384,0.29962667265051846,0.3051998970356393,0.25427782204535476,0.3744985581819993,3.418856382369995,0.9796948377043009,5.9260857797183374e-05
28,1232,True,True,0.05736443577982483,0.09557816281973822,0.03756185133296296,0.00032765484080127494,0.00032422025619142545,0.0,0.3032929851739707,0.29964068096723534,0.30535077102941766,0.258507739238003,0.40329149041930734,4.993863582611084,0.9706192836165428,5.9260857797183374e-05
29,1276,True,True,0.05721910697267969,0.09551388265755131,0.03762350881353338,0.00035543581270594304,0.0003158313664003167,0.0,0.30343971431276834,0.29966848609338287,0.3055678899650147,0.25270594546307396,0.3816593760322931,5.522648811340332,0.9925807984545827,5.9260857797183374e-05
30,1320,True,True,0.056020935562772094,0.09469636404209089,0.03800671153090252,0.0003358980388217446,0.0003328194017935137,0.0,0.30357106412054613,0.29971215357816566,0.30576166503058844,0.2536114232874587,0.38876597424770926,4.182082176208496,1.1091135395690799,5.9260857797183374e-05
31,1364,True,True,0.04812675584315867,0.0860030789464293,0.03730064899057118,0.0002987296858703697,0.000276944178822049,0.0,0.30367260068665763,0.299696558440931,0.3059140783847131,0.25359362262790486,0.41067771897864525,4.427323341369629,1.0200121803209186,5.9260857797183374e-05
32,1408,True,True,0.0475273206144883,0.08582707081531472,0.0377146947149589,0.0002838396050809761,0.00030121532616598796,0.0,0.30379749453544963,0.29970094781896933,0.306098441891923,0.25705730927966364,0.4183211775407265,5.395099639892578,0.9532729163765907,5.9260857797183374e-05
33,1452,True,True,0.05051622314669468,0.08908250336016381,0.037967077283449994,0.00029968663320795717,0.00029951585679022165,0.0,0.3039339229254958,0.2996950644772705,0.3062939750473292,0.2552135068932639,0.4099113004885982,3.365513563156128,0.8643763419240713,5.9260857797183374e-05
