training_dataset,compound_id,feature_count,seed_pair_count,mean_pairwise_spearman,mean_pairwise_top10_jaccard
2773,dpp4_01,147,10,0.3428752767304627,0.09889060887512899
2773,dpp4_02,137,10,0.3077734426045886,0.1389920880632955
2773,dpp4_03,137,10,0.2922540930050217,0.17756646518256422
2773,dpp4_04,140,10,0.2057199711355536,0.12487100103199174
2773,dpp4_05,170,10,0.28261845005831676,0.11775025799793601
2773,dpp4_06,160,10,0.28907447556545185,0.09454764361885105
2773,dpp4_07,145,10,0.32142064241851676,0.11023391812865495
2773,dpp4_08,169,10,0.3832462334046045,0.11984004127966974
2773,dpp4_09,175,10,0.3955420958351993,0.13462700869821612
2773,dpp4_10,183,10,0.3461769520572087,0.1438375350140056
2773,dpp4_11,161,10,0.2806705774097079,0.073890608875129
2773,dpp4_12,208,10,0.3315650787046668,0.11089979851589757
2773,dpp4_13,158,10,0.3032863321259768,0.09761781905744753
2773,dpp4_14,197,10,0.3580384807360878,0.1255589955280358
2773,dpp4_15,164,10,0.28523744099683046,0.09327485380116958
