training_dataset,seed,compound_id,canonical_smiles,representative_smiles,observed_pkoff,observed_pkoff_sd,n_measurements,source,feature_key,channel_radius,bit_id,occurrence_count,collision_or_repetition,atom_indices_json,occurrences_json,fragment_smiles_json,original_prediction,masked_prediction,delta_pkoff,checkpoint_sha256,rank_within_seed
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b350,1,350,1,False,[12],"[{""center_atom"":12,""environment_radius"":0,""atom_indices"":[12],""fragment_smiles"":""S""}]","[""S""]",1.8111300468444824,1.812252163887024,-0.001122117042541504,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,82
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b361,1,361,1,False,"[4, 5, 6, 29]","[{""center_atom"":5,""environment_radius"":1,""atom_indices"":[4,5,6,29],""fragment_smiles"":""cc(c)C""}]","[""cc(c)C""]",1.8111300468444824,1.8016749620437622,0.009455084800720215,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,50
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b392,1,392,1,False,"[2, 10, 11, 12]","[{""center_atom"":11,""environment_radius"":1,""atom_indices"":[2,10,11,12],""fragment_smiles"":""cc(S)c""}]","[""cc(S)c""]",1.8111300468444824,1.7814600467681885,0.029670000076293945,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,19
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b650,1,650,2,True,"[14, 15]","[{""center_atom"":14,""environment_radius"":0,""atom_indices"":[14],""fragment_smiles"":""O""},{""center_atom"":15,""environment_radius"":0,""atom_indices"":[15],""fragment_smiles"":""O""}]","[""O"", ""O""]",1.8111300468444824,1.8168339729309082,-0.005703926086425781,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,96
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b656,1,656,1,False,[16],"[{""center_atom"":16,""environment_radius"":0,""atom_indices"":[16],""fragment_smiles"":""O""}]","[""O""]",1.8111300468444824,1.7984569072723389,0.012673139572143555,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,38
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b692,1,692,1,False,"[12, 13]","[{""center_atom"":13,""environment_radius"":1,""atom_indices"":[12,13],""fragment_smiles"":""CS""}]","[""CS""]",1.8111300468444824,1.8269257545471191,-0.01579570770263672,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,126
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b695,1,695,1,False,[1],"[{""center_atom"":1,""environment_radius"":0,""atom_indices"":[1],""fragment_smiles"":""O""}]","[""O""]",1.8111300468444824,1.8264646530151367,-0.015334606170654297,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,124
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b699,1,699,3,True,"[20, 21, 22, 23, 25, 26]","[{""center_atom"":21,""environment_radius"":1,""atom_indices"":[20,21],""fragment_smiles"":""cF""},{""center_atom"":23,""environment_radius"":1,""atom_indices"":[22,23],""fragment_smiles"":""cF""},{""center_atom"":26,""environment_radius"":1,""atom_indices"":[25,26],""fragment_smiles"":""cF""}]","[""cF"", ""cF"", ""cF""]",1.8111300468444824,1.8173213005065918,-0.006191253662109375,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,99
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b750,1,750,1,False,"[6, 16, 17]","[{""center_atom"":16,""environment_radius"":1,""atom_indices"":[6,16,17],""fragment_smiles"":""cOC""}]","[""cOC""]",1.8111300468444824,1.8037959337234497,0.007334113121032715,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,55
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b841,1,841,1,False,"[0, 1]","[{""center_atom"":0,""environment_radius"":1,""atom_indices"":[0,1],""fragment_smiles"":""CO""}]","[""CO""]",1.8111300468444824,1.814976692199707,-0.0038466453552246094,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,90
