training_dataset,compound_id,feature_key,channel_radius,bit_id,canonical_smiles,representative_smiles,observed_pkoff,observed_pkoff_sd,n_measurements,source,occurrence_count,collision_or_repetition,atom_indices_json,occurrences_json,fragment_smiles_json,n_seeds,mean_delta_pkoff,sd_delta_pkoff,median_delta_pkoff,positive_seed_fraction,sign_consistency,mean_rank,top10_seed_fraction,delta_by_seed_json
2773,dpp4_11,r3_b1066,3,1066,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,2.508638,0.0,1,10.1093/nar/gkw1074,1,False,"[5, 6, 7, 9, 10, 11, 12]","[{""center_atom"":12,""environment_radius"":2,""atom_indices"":[5,6,7,9,10,11,12],""fragment_smiles"":""cN(C)C[C@H](N)C""}]","[""cN(C)C[C@H](N)C""]",5,0.04210996627807617,0.02398000647565048,0.04090142250061035,1.0,1.0,11.0,0.6,"{""42"": 0.04090142250061035, ""142"": 0.05859494209289551, ""242"": 0.018236637115478516, ""342"": 0.07305479049682617, ""442"": 0.019762039184570312}"
2773,dpp4_01,r1_b469,1,469,N[C@H]1C[C@@H](N2CC3=C(C2)CS(=O)(=O)C3)CO[C@@H]1c1cc(F)ccc1F,N[C@H]1C[C@@H](N2CC3=C(C2)CS(=O)(=O)C3)CO[C@@H]1c1cc(F)ccc1F,3.49485,0.0,1,10.1093/nar/gkw1074,2,True,"[10, 11, 12]","[{""center_atom"":11,""environment_radius"":1,""atom_indices"":[10,11],""fragment_smiles"":""O=S""},{""center_atom"":12,""environment_radius"":1,""atom_indices"":[10,12],""fragment_smiles"":""O=S""}]","[""O=S"", ""O=S""]",5,0.04173235893249512,0.04338392157081591,0.01848006248474121,1.0,1.0,25.0,0.4,"{""42"": 0.06530189514160156, ""142"": 0.01848006248474121, ""242"": 0.009139060974121094, ""342"": 0.008629798889160156, ""442"": 0.10711097717285156}"
2773,dpp4_01,r3_b1923,3,1923,N[C@H]1C[C@@H](N2CC3=C(C2)CS(=O)(=O)C3)CO[C@@H]1c1cc(F)ccc1F,N[C@H]1C[C@@H](N2CC3=C(C2)CS(=O)(=O)C3)CO[C@@H]1c1cc(F)ccc1F,3.49485,0.0,1,10.1093/nar/gkw1074,1,False,"[3, 14, 15]","[{""center_atom"":14,""environment_radius"":1,""atom_indices"":[3,14,15],""fragment_smiles"":""CCO""}]","[""CCO""]",5,0.04058194160461426,0.03235581190009994,0.02581787109375,1.0,1.0,14.2,0.4,"{""42"": 0.02581787109375, ""142"": 0.06016182899475098, ""242"": 0.009277105331420898, ""342"": 0.08740782737731934, ""442"": 0.020245075225830078}"
2773,dpp4_10,r3_b1956,3,1956,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,3.585027,0.0,1,10.1093/nar/gkw1074,1,False,"[1, 22, 29]","[{""center_atom"":29,""environment_radius"":1,""atom_indices"":[1,22,29],""fragment_smiles"":""cnn""}]","[""cnn""]",5,0.04022541046142578,0.015555421742047408,0.043700218200683594,1.0,1.0,13.4,0.8,"{""42"": 0.04142880439758301, ""142"": 0.043700218200683594, ""242"": 0.049079179763793945, ""342"": 0.05326366424560547, ""442"": 0.01365518569946289}"
2773,dpp4_09,r1_b1956,1,1956,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,3.149354,0.0,2,10.1093/nar/gkw1074,1,False,"[4, 7, 8]","[{""center_atom"":8,""environment_radius"":1,""atom_indices"":[4,7,8],""fragment_smiles"":""cnn""}]","[""cnn""]",5,0.04010951519012451,0.044904273694926666,0.017998218536376953,1.0,1.0,21.6,0.4,"{""42"": 0.11688613891601562, ""142"": 0.017155170440673828, ""242"": 0.006194114685058594, ""342"": 0.017998218536376953, ""442"": 0.04231393337249756}"
2773,dpp4_09,r3_b1956,3,1956,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,3.149354,0.0,2,10.1093/nar/gkw1074,1,False,"[4, 7, 8]","[{""center_atom"":8,""environment_radius"":1,""atom_indices"":[4,7,8],""fragment_smiles"":""cnn""}]","[""cnn""]",5,0.03999264240264892,0.02921477792829381,0.0431060791015625,1.0,1.0,21.8,0.6,"{""42"": 0.018949270248413086, ""142"": 0.05890679359436035, ""242"": 0.0431060791015625, ""342"": 0.07557868957519531, ""442"": 0.003422379493713379}"
2773,dpp4_10,r3_b1917,3,1917,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,3.585027,0.0,1,10.1093/nar/gkw1074,1,False,"[12, 13]","[{""center_atom"":13,""environment_radius"":1,""atom_indices"":[12,13],""fragment_smiles"":""C=O""}]","[""C=O""]",5,0.0394256591796875,0.02102585086948608,0.03309345245361328,1.0,1.0,14.6,0.4,"{""42"": 0.028606176376342773, ""142"": 0.04564261436462402, ""242"": 0.07239532470703125, ""342"": 0.03309345245361328, ""442"": 0.017390727996826172}"
2773,dpp4_08,r3_b1180,3,1180,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,1,False,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 27, 29]","[{""center_atom"":4,""environment_radius"":3,""atom_indices"":[1,2,3,4,5,6,7,8,9,10,11,16,27,29],""fragment_smiles"":""CCc1c(ccc2ccc(O)cc12)O""}]","[""CCc1c(ccc2ccc(O)cc12)O""]",5,0.039040327072143555,0.026324637410633425,0.036589860916137695,1.0,1.0,19.2,0.6,"{""42"": 0.009882450103759766, ""142"": 0.06604480743408203, ""242"": 0.06559014320373535, ""342"": 0.01709437370300293, ""442"": 0.036589860916137695}"
2773,dpp4_15,r3_b1119,3,1119,COc1cc2c3c(ccc2cc1C#N)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1C#N)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,2.640165,0.0,1,10.1093/nar/gkw1074,1,False,"[4, 5, 6, 7, 8, 14, 15, 16, 17, 23, 25, 26, 27]","[{""center_atom"":14,""environment_radius"":3,""atom_indices"":[4,5,6,7,8,14,15,16,17,23,25,26,27],""fragment_smiles"":""ccc1c(c)C[C@H](N)[C@@H](c(c)c)O1""}]","[""ccc1c(c)C[C@H](N)[C@@H](c(c)c)O1""]",5,0.03884634971618652,0.03108987326845138,0.05267965793609619,0.8,0.8,32.8,0.6,"{""42"": -0.006412982940673828, ""142"": 0.06232738494873047, ""242"": 0.06566214561462402, ""342"": 0.05267965793609619, ""442"": 0.01997554302215576}"
2773,dpp4_05,r3_b1066,3,1066,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O,3.39794,0.0,1,10.1093/nar/gkw1074,1,False,"[5, 6, 7, 9, 10, 11, 12]","[{""center_atom"":12,""environment_radius"":2,""atom_indices"":[5,6,7,9,10,11,12],""fragment_smiles"":""cN(C)C[C@H](N)C""}]","[""cN(C)C[C@H](N)C""]",5,0.03853683471679688,0.013734271382711783,0.031219959259033203,1.0,1.0,7.0,0.8,"{""42"": 0.030872821807861328, ""142"": 0.036940574645996094, ""242"": 0.031219959259033203, ""342"": 0.06267309188842773, ""442"": 0.030977725982666016}"
