candidate_rank,trial_number,stage1_val_mse,mean_val_mse,std_val_mse,min_val_mse,max_val_mse,lr,weight_decay,batch_size,dropout,window_size
1,26,0.3081037472276127,0.3765210113104652,0.08791536122122874,0.3044113394092111,0.5005923229105332,3.207243352197332e-05,0.01,64,0.05,1
3,16,0.3083956346792333,0.3780097112936132,0.08477171820386345,0.3083956346792333,0.5023569604929756,4.639874807526627e-05,0.001,64,0.05,1
4,15,0.308412071536569,0.38064898445325734,0.0851344759962723,0.308412071536569,0.4862910964909722,4.192769376933532e-05,0.001,64,0.05,1
5,18,0.30930210562313304,0.38123728773173166,0.07593125635716587,0.30930210562313304,0.4854254687533659,4.503826022027936e-05,1e-06,64,0.05,1
2,10,0.3082507690962623,0.39328274902175453,0.0960274603965188,0.3082507690962623,0.49726420991560993,1.1021656868068353e-05,0.0,64,0.25,1
