dataset,protocol,variant,run,epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
2773,drug_cold,full,1,1,False,False,1.039458571513371,1.1434044126135243,0.504528820514679,0.71030193567276,0.5574976801872253,0.43762241015711967,0.6916580432800536,0.6696901916624326,0.30000001189022074,0.0,0.30000001189022074,0.0,8.829025972632635,50.198890686035156,5.0,1.8589362232014537,0.019712976180016994,5,5.9260857797183374e-05,0.10394585883030874,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030557118175817112,0.0,0.0,0.12360049473262828,0.23738517151979488,0.23070320279741952,0.3430112772906705,0.3127490907892132,0.18607129711640488,0.33294721806804767,0.23353224547482962
2773,drug_cold,full,1,2,False,False,0.5660055664045057,0.6226061206543219,0.43655312061309814,0.6607216596603394,0.4805540144443512,0.5133920768981914,0.7356928820271771,0.7277454697716248,0.30000001189022074,0.0,0.30000001189022074,0.0,8.839074297457366,24.741130828857422,5.0,0.7538422625511885,0.01720879878848791,5,5.9260857797183374e-05,0.05660055772944064,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030093431810568682,0.0,0.0,0.05452760204956864,0.23738517397645206,0.18136320354888147,0.34301127827333333,0.15807727794558776,0.18607129490541344,0.6060319150740925,0.23353224694882393
2773,drug_cold,full,1,3,False,False,0.4985294528439879,0.5483824018655764,0.40551629662513733,0.6368016004562378,0.4548894762992859,0.5479876113752984,0.7578649979787722,0.7389808007858991,0.30000001189022074,0.0,0.30000001189022074,0.0,15.238802232796356,44.50074005126953,5.0,0.7380732335150242,0.0180295892059803,5,5.9260857797183374e-05,0.04985294602945685,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.0306070312159016,0.0,0.0,0.029199733401253813,0.237385170537132,0.0449982463300136,0.3430112780276676,0.18033374332386706,0.18607129748490348,0.7454682698512679,0.23353224866848396
2773,drug_cold,full,1,4,False,False,0.44454514964962055,0.48899966493701885,0.43794938921928406,0.6617774367332458,0.5064398050308228,0.5118357291929775,0.72314348616322,0.6894674988634574,0.30000001189022074,0.0,0.30000001189022074,0.0,9.175066015881278,31.653398513793945,5.0,0.7229546867311001,0.019157293252646923,5,5.9260857797183374e-05,0.044454515886208495,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030618323486284887,0.0,0.0,0.027802378046702995,0.23738517151979488,0.024785532311395787,0.3430112802386591,0.14510043388417798,0.18607129674790632,0.8023116658607259,0.23353224866848396
2773,drug_cold,full,1,5,False,False,0.41964780551941355,0.4616125826980575,0.440371036529541,0.6636045575141907,0.5043318271636963,0.5091364252907757,0.7432847622759237,0.7202440885763373,0.30000001189022074,0.0,0.30000001189022074,0.0,9.544986633465868,22.742380142211914,5.0,0.7135605858638883,0.01985103450715542,5,5.9260857797183374e-05,0.0419647813952657,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030999533851265845,0.0,0.0,0.02917262102635112,0.23738517397645206,0.027274987551430218,0.3430112758166762,0.12451662592271258,0.18607129515107915,0.8190357595421124,0.23353224621182678
2773,drug_cold,full,1,6,True,False,0.3922050640578125,0.43552945165029816,0.3397942781448364,0.5829187631607056,0.42299601435661316,0.6212452272489131,0.7912393526189075,0.778181386603658,0.30000001189022074,0.0,0.30000001189022074,0.0,11.347927290038434,24.54444694519043,5.0,0.7797807659953833,0.02035669330507517,5,5.9260857797183374e-05,0.04146272933042461,0.0009407663218197708,0.0009208920147027178,0.0,0.30000001189022074,0.253941273087389,0.2999733163793329,0.2539141628927696,1.0,0.8464708912931479,0.04326943071277899,0.10647942121958745,0.05866630491308795,0.03044244111167715,0.2858663371762684,0.03291760987685183,0.3854695319638063,0.1381646056325088,0.18403793474499064,0.7984753303586791,0.14462620422190334
2773,drug_cold,full,1,7,True,False,0.28329612730029685,0.32487005528133595,0.3721064031124115,0.610005259513855,0.47614675760269165,0.5852282207365531,0.8043578339488933,0.7799280844978682,0.30000001189022074,0.0,0.30000001189022074,0.0,12.085370052481116,27.170944213867188,5.0,0.7002913076430559,0.016148210503160954,5,5.9260857797183374e-05,0.03998388420254959,0.0007876711483710839,0.0008023722646186979,0.0,0.30000001189022074,0.25455951371308394,0.29999777338420036,0.2544927889388103,1.0,0.848531684698609,0.08862982086150195,0.16964472120168098,0.0749713906549044,0.025753146499042225,0.10911671553979763,0.025350604780183385,0.30036142595891546,0.10281856295867166,0.24395850919559406,0.8460776954505445,0.3465633436553814
2773,drug_cold,full,1,8,True,False,0.23475322841308216,0.2775787046464186,0.32303953170776367,0.5683656930923462,0.4374504089355469,0.6399210690306387,0.8127457580910795,0.7778869847090157,0.30000001189022074,0.0,0.30000001189022074,0.0,13.289323362599077,31.5766658782959,5.0,0.7771028727293015,0.01747308485209942,5,5.9260857797183374e-05,0.04133268199488713,0.0007289032226774816,0.000763892404928694,0.0,0.30000001189022074,0.2544049516527509,0.30008372739686723,0.2543294246758093,1.0,0.8480164863472437,0.10815390835466734,0.21109530018015904,0.09132665902422238,0.02700462039139761,0.13482975443879824,0.024613469670200887,0.32813263037719415,0.10869286884541735,0.29798238440803004,0.8396890415228991,0.2390552370404534
2773,drug_cold,full,1,9,True,False,0.193762979046516,0.2340630746068935,0.3075841963291168,0.5546027421951294,0.4126475751399994,0.6571485097933918,0.8113979985565422,0.7834379926859263,0.30000001189022074,0.0,0.30000001189022074,0.0,8.516887743653617,23.617605209350586,5.0,0.7100900365039706,0.021992340683937073,5,5.9260857797183374e-05,0.03887300934049501,0.0007254917711731562,0.0007015945909672336,0.0,0.30000001189022074,0.25548686789581915,0.3001768091546697,0.25540358844582167,1.0,0.8516228748068007,0.12764228637042824,0.23778835748164448,0.08770824197270954,0.026888048292618937,0.13969845811096065,0.02276523585543075,0.2656129596775061,0.10499807610332444,0.2725558983548777,0.8453486490225067,0.322132685207817
2773,drug_cold,full,1,10,True,False,0.1650472967772678,0.20504210295135492,0.3350602686405182,0.578843891620636,0.4321293532848358,0.6265220398907785,0.8163479920411025,0.7862038915117721,0.30000001189022074,0.0,0.30000001189022074,0.0,9.136021031109959,22.936105728149414,5.0,0.7563933879137039,0.02061992697417736,5,5.9260857797183374e-05,0.03882558449972296,0.0006406137473304985,0.0005286100171265298,0.0,0.30000001189022074,0.2571870247645823,0.30025107635781056,0.257094176143546,1.0,0.8572900566718187,0.127892613595199,0.25404452933655886,0.07872982740033724,0.02602958002083084,0.13061927876971174,0.020121704190124993,0.263045050814126,0.10122976893926637,0.2764756781486185,0.8526189441474549,0.3298599900565523
