dataset,protocol,variant,run,status,output_dir
2773,protein_cold,without_protein,2,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_protein/run2
2773,protein_cold,without_protein,3,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_protein/run3
2773,protein_cold,without_protein,4,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_protein/run4
2773,protein_cold,without_protein,5,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_protein/run5
2773,protein_cold,without_drug,1,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_drug/run1
2773,protein_cold,without_drug,2,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_drug/run2
2773,protein_cold,without_drug,3,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_drug/run3
2773,protein_cold,without_drug,4,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_drug/run4
2773,protein_cold,without_drug,5,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_drug/run5
2773,protein_cold,without_joint,1,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_joint/run1
2773,protein_cold,without_joint,2,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_joint/run2
2773,protein_cold,without_joint,3,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_joint/run3
2773,protein_cold,without_joint,4,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_joint/run4
2773,protein_cold,without_joint,5,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_joint/run5
KinetX,warm,full,1,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/warm/full/run1
KinetX,warm,full,2,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/warm/full/run2
KinetX,warm,full,3,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/warm/full/run3
