trial,config_id,mean,sd,run1,run2,run3,run4,run5,lr,weight_decay,batch_size,dropout,window_size,drug_gate_init,joint_gate_init
7,92630a375776f1aa2f5322bce1182ce9e1033c31d8f1748f8933a2d3f57304f1,0.2429164469242096,0.031837216835430934,0.21039535105228424,0.22072656452655792,0.23799392580986023,0.2914696931838989,0.25399670004844666,3.656082725525343e-05,0.0001,16,0.1,2,0.5,0.4
24,d0af67adb7d62894133816d1d8cc8917a8b4aa6511f4adb41ef110cb4f6e1af7,0.24173630475997926,0.02479314719739883,0.21339526772499084,0.22512789070606232,0.23979134857654572,0.2769398093223572,0.2534272074699402,5.9260857797183374e-05,0.0001,64,0.15,2,0.3,0.3
29,b9ed28764efa37c71cafa279260e3e31f96c5c415a30bb83a1567bd5e30d30c1,0.24681080281734466,0.029481767299474885,0.21902699768543243,0.23385727405548096,0.2325991988182068,0.29459908604621887,0.2539714574813843,2.3312932002085662e-05,1e-05,16,0.17,6,0.5,0.01
8,67c14fb38728249b6c1087340ec4e26bb2b44099143a18d6abcc65ed81fd98b2,0.24816798865795137,0.026499007622520294,0.21984869241714478,0.2500079274177551,0.23391759395599365,0.29056569933891296,0.24650003015995026,1.1506162158498395e-05,0.0,64,0.3,6,0.5,0.1
18,42337f4d0725e1306a8184d3e9d2bcd376b98a29ade596cdd0cb30486918365f,0.25280670523643495,0.031734554822149375,0.2202386111021042,0.23354463279247284,0.24651414155960083,0.3026995062828064,0.26103663444519043,4.8242080125493964e-05,0.0001,64,0.15,2,0.1,0.3
