number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_best_epoch,user_attrs_output_dir,user_attrs_source,system_attrs_fixed_params,state
20,0.24738399179332318,2026-07-25 17:32:25.254324,2026-07-25 17:34:14.589234,0 days 00:01:49.334910,16,0.2,1.9077327414077537e-05,0.001,58,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0020,,,COMPLETE
21,0.2414027798981294,2026-07-25 17:34:14.679815,2026-07-25 17:36:21.349051,0 days 00:02:06.669236,8,0.2,4.6744869979540466e-05,0.001,32,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0021,,,COMPLETE
22,0.23715015674334577,2026-07-25 17:36:21.460319,2026-07-25 17:38:33.474892,0 days 00:02:12.014573,8,0.2,3.796354671892038e-05,0.001,32,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0022,,,COMPLETE
23,0.2429732586631776,2026-07-25 17:38:33.591103,2026-07-25 17:40:02.806756,0 days 00:01:29.215653,8,0.2,7.499457742003225e-05,0.001,14,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0023,,,COMPLETE
24,0.24520501903720265,2026-07-25 17:40:02.951499,2026-07-25 17:41:30.194609,0 days 00:01:27.243110,8,0.2,0.00013593492988043848,0.001,14,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0024,,,COMPLETE
25,0.25083822523427596,2026-07-25 17:41:30.332030,2026-07-25 17:45:32.291207,0 days 00:04:01.959177,8,0.2,1.5330116543504238e-05,1e-05,78,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0025,,,COMPLETE
26,0.23706232625888335,2026-07-25 17:45:32.405740,2026-07-25 17:48:21.449419,0 days 00:02:49.043679,8,0.3,2.8535060504181804e-05,1e-06,54,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0026,,,COMPLETE
27,0.24657367140635528,2026-07-25 17:48:21.540015,2026-07-25 17:49:49.983769,0 days 00:01:28.443754,8,0.0,6.849973884278697e-05,0.0001,14,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0027,,,COMPLETE
28,0.24623643950853302,2026-07-25 17:49:50.143490,2026-07-25 17:50:45.813312,0 days 00:00:55.669822,32,0.1,0.00018226288216593322,0.0,15,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0028,,,COMPLETE
29,0.2571270656217027,2026-07-25 17:50:45.878748,2026-07-25 17:51:43.100714,0 days 00:00:57.221966,16,0.1,0.0006638832595888357,0.01,11,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0029,,,COMPLETE
