epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,2.5838866911820846,2.842275367276676,0.9425250291824341,0.9708372950553894,0.7619783282279968,-0.0660348675212512,,,0.30000001198231374,0.0,0.30000001198231374,0.0,17.65185074310224,31.078006744384766,5.0,1.8545585228130221,0.02087136823683977,5,5.9260857797183374e-05,0.258388676746805,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.03391355141061219,0.0,0.0,0.2859120197080068,0.2384604464844253,0.1852722754807477,0.33957846599307784,0.2437192310879331,0.18723770199548817,0.2850964641472829,0.23472338086176361
2,False,False,0.9721899529195839,1.0694089492612224,0.9050140976905823,0.9513223171234131,0.7579392194747925,-0.02360852876956754,0.322542816749811,0.2570409228645559,0.30000001198231374,0.0,0.30000001198231374,0.0,2.783471508632605,9.43376636505127,5.0,0.6626537488773465,0.018220786936581135,5,5.9260857797183374e-05,0.09721899674831286,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.033913551625459004,0.0,0.0,0.2859120182347715,0.2384604464844253,0.1852722784272183,0.3395784655019994,0.24371923010577626,0.18723770003117443,0.28509646611159667,0.2347233852814695
3,False,False,0.9626072280561642,1.0588679478170944,0.9032504558563232,0.950394868850708,0.7578716278076172,-0.021613734685247854,0.322542816749811,0.2570409228645559,0.30000001198231374,0.0,0.30000001198231374,0.0,2.1643770566070115,7.174372673034668,5.0,0.7121898252516985,0.016771188005805016,5,5.9260857797183374e-05,0.09626072442617524,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.03391355180961342,0.0,0.0,0.28591201627045776,0.23846043985486645,0.18527228039153204,0.3395784743414112,0.2437192278959233,0.18723769904901758,0.28509647372331237,0.23472338577254792
4,False,False,0.9650158244966847,1.0615174039262207,0.8860992789268494,0.9413284659385681,0.7605724334716797,-0.002215039890373305,,,0.30000001198231374,0.0,0.30000001198231374,0.0,2.3844593301123864,7.6523261070251465,5.0,0.5774481175467372,0.015176205895841122,5,5.9260857797183374e-05,0.09650158447076314,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.03391355171753621,0.0,0.0,0.2859120194624676,0.23846044402903313,0.1852722781816791,0.3395784716404798,0.24371923157901154,0.1872377022410274,0.28509647053130255,0.2347233838082342
5,False,False,0.9588079575898104,1.0546887515133858,0.8841549158096313,0.9402951002120972,0.7637278437614441,-1.589865093798437e-05,,,0.30000001198231374,0.0,0.30000001198231374,0.0,1.9250797569352738,6.095688343048096,5.0,0.705912590958178,0.016034777276217937,5,5.9260857797183374e-05,0.09588079707721972,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.03391355208584504,0.0,0.0,0.285912016515997,0.23846044329241547,0.1852722799004536,0.339578465010921,0.2437192350165606,0.18723769880347838,0.28509647249561626,0.23472338184392047
6,True,False,0.8741572992809032,0.9809880506488985,0.42090293765068054,0.6487703323364258,0.5155164003372192,0.5239413397456143,0.7315828446296075,0.6677542099900677,0.30000001198231374,0.0,0.30000001198231374,0.0,5.704732730877264,28.071470260620117,5.0,0.8034643400460482,0.01798613741993904,5,5.9260857797183374e-05,0.09589743912296732,0.008333829855958784,0.0025994761194266477,0.0,0.30000001198231374,0.25396499034673375,0.3000561083627656,0.2539988023245249,1.0,0.8465499485066942,0.11017496639864575,0.5125356358921982,0.22623996447338257,0.27359186584009076,0.6035031398219257,0.1921142733796863,0.18916072422517685,0.24157220303214297,0.06724676158352075,0.2927216572570015,0.14008937989400908
7,True,False,0.42195537591201515,0.5226904661476183,0.3472069799900055,0.589242696762085,0.4456888735294342,0.6072945166129365,0.7913100627312303,0.7640168939036259,0.30000001198231374,0.0,0.30000001198231374,0.0,3.37946727273393,5.998379707336426,5.0,0.7170382188633084,0.016037892550230026,5,5.9260857797183374e-05,0.09639435070044103,0.0027726694294582404,0.0015680714331502065,0.0,0.30000001198231374,0.25458291237435304,0.30011105905723373,0.25461815682793254,1.0,0.8486096807415036,0.23932880451701327,0.5337121872160389,0.17069222949192037,0.25985919999536106,0.5718628473802404,0.20103037246837674,0.06881473576371873,0.24208606750417566,0.07564156167170782,0.2970243541391453,0.2836808537110978
8,True,False,0.31495049905826084,0.4146308171822777,0.3470505177974701,0.5891099572181702,0.4565069079399109,0.607471453300907,0.8164343133464813,0.7957268216362431,0.30000001198231374,0.0,0.30000001198231374,0.0,4.254496327880482,11.646554946899414,5.0,0.7717972910031676,0.017780550755560398,5,5.9260857797183374e-05,0.09581394678885242,0.0022746868761031897,0.001591684882760232,0.0,0.30000001198231374,0.2544284301486737,0.3001361828753926,0.25444694920745126,1.0,0.8480947476828012,0.3334005077884568,0.5495824499552576,0.22702163967364358,0.26406839456175185,0.5738991600845919,0.19711862779179268,0.06569150018090446,0.24140539400118388,0.06759654524151992,0.29740757701571274,0.2928128026418165
9,True,False,0.2543513291466494,0.35305857277800445,0.2829436659812927,0.5319244861602783,0.3970276415348053,0.6799789746513318,0.8332038538225236,0.8074950995417833,0.30000001198231374,0.0,0.30000001198231374,0.0,3.5611685930639045,6.469919681549072,5.0,0.7434573946520686,0.019886882044374943,5,5.9260857797183374e-05,0.09561954661973596,0.0018669715162940193,0.0012207228295221142,0.0,0.30000001198231374,0.2555097890317624,0.30016124039796305,0.2555169506740865,1.0,0.8516992790937178,0.3454879845207678,0.5395371096264322,0.24288627710941524,0.2679856626430083,0.5612641544715261,0.19265689687797632,0.05139733128149895,0.2436840669256774,0.06303698358525946,0.29567337355333795,0.32430153084586993
10,True,False,0.20762735224654083,0.30601221976761467,0.2671715319156647,0.5168863534927368,0.3696306645870209,0.6978179299703766,0.8397307777477538,0.8265613132563745,0.30000001198231374,0.0,0.30000001198231374,0.0,2.541057129475901,4.66142463684082,5.0,0.7035919269546866,0.016875012777745724,5,5.9260857797183374e-05,0.09552234097409813,0.0017129907523110186,0.0011495347573274668,0.0,0.30000001198231374,0.2572090706790881,0.3001784814251194,0.25720415989476053,1.0,0.8573635427394438,0.39881045098898954,0.5439572461969944,0.26664325947864664,0.26482732362285577,0.5743997526709009,0.19366655806434388,0.0535789385637466,0.24903227666625033,0.07072923486682094,0.29247384213762845,0.30129207739746533
