fold,train_samples,train_drugs,train_proteins,train_pkoff_mean,train_pkoff_sd,val_samples,val_drugs,val_proteins,val_pkoff_mean,val_pkoff_sd,test_samples,test_drugs,test_proteins,test_pkoff_mean,test_pkoff_sd,drug_overlap_count
1,3811,1407,245,1.877811,1.176401,545,216,119,1.916416,1.367037,1090,406,161,1.897765,1.181624,0
2,3812,1400,245,1.885743,1.195827,545,224,120,1.879606,1.232120,1089,405,158,1.888440,1.187845,0
3,3812,1463,249,1.897260,1.214249,545,160,106,1.835358,1.058476,1089,406,157,1.870269,1.205149,0
4,3812,1428,262,1.892109,1.193654,545,195,116,1.859572,1.208406,1089,406,151,1.876182,1.207290,0
5,3812,1440,244,1.892824,1.203842,545,183,124,1.815622,1.131327,1089,406,162,1.895675,1.208304,0
