training_dataset,compound_id,feature_key,channel_radius,bit_id,canonical_smiles,representative_smiles,observed_pkoff,observed_pkoff_sd,n_measurements,source,occurrence_count,collision_or_repetition,atom_indices_json,occurrences_json,fragment_smiles_json,n_seeds,mean_delta_pkoff,sd_delta_pkoff,median_delta_pkoff,positive_seed_fraction,sign_consistency,mean_rank,top10_seed_fraction,delta_by_seed_json
2773,factor_xa_04,r3_b448,3,448,N=C(N)NCCCC(NC(=O)CN1CCN(S(=O)(=O)c2cccc3cccnc23)CC1=O)C(=O)c1nccs1,NC(=N)NCCCC(NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1cccc2cccnc12)C(=O)c1nccs1,0.970616222,0.0,1,10.1093/nar/gkv1072,1,False,"[24, 25, 26, 27, 28]","[{""center_atom"":26,""environment_radius"":2,""atom_indices"":[24,25,26,27,28],""fragment_smiles"":""cccnc""}]","[""cccnc""]",5,-0.013986873626708984,0.02734627321031726,-0.021163463592529297,0.4,0.6,154.2,0.0,"{""42"": -0.021163463592529297, ""142"": 0.02480340003967285, ""242"": -0.0353703498840332, ""342"": 0.002409696578979492, ""442"": -0.040613651275634766}"
2773,factor_xa_03,r2_b1104,2,1104,N=C(N)NCCCC(NC(=O)CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1=O)C(=O)c1nccs1,NC(=N)NCCCC(NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1ccc2ccccc2c1)C(=O)c1nccs1,0.879426069,0.0,1,10.1093/nar/gkv1072,1,False,"[0, 1]","[{""center_atom"":0,""environment_radius"":1,""atom_indices"":[0,1],""fragment_smiles"":""C=N""}]","[""C=N""]",5,-0.014072132110595704,0.012651392353263095,-0.012900352478027344,0.0,1.0,175.6,0.0,"{""42"": -0.005698680877685547, ""142"": -0.012900352478027344, ""242"": -0.0032091140747070312, ""342"": -0.013265132904052734, ""442"": -0.03528738021850586}"
2773,factor_xa_02,r3_b1262,3,1262,O=C(Nc1ccc(Cl)cn1)C1C[NH+](CC(F)F)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)C[NH+](CC(F)F)C2)cc1,0.886056648,0.0,1,10.1021/acsomega.2c02156,1,False,"[10, 11, 12, 13, 14, 17, 18]","[{""center_atom"":12,""environment_radius"":2,""atom_indices"":[10,11,12,13,14,17,18],""fragment_smiles"":""CC[NH+](CC)CC""}]","[""CC[NH+](CC)CC""]",5,-0.014075517654418945,0.011004320482854338,-0.020682334899902344,0.2,0.8,159.8,0.0,"{""42"": 0.0012068748474121094, ""142"": -0.022026777267456055, ""242"": -0.02291393280029297, ""342"": -0.005961418151855469, ""442"": -0.020682334899902344}"
2773,factor_xa_06,r3_b1873,3,1873,N=C(N)NCCC[C@@H](NC(=O)CN1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1=O)C(=O)c1nccs1,NC(=N)NCCC[C@@H](NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1ccc(Cl)cc1)C(=O)c1nccs1,0.721246399,0.0,1,10.1093/nar/gkv1072,6,True,"[20, 21, 24, 25, 33, 34]","[{""center_atom"":20,""environment_radius"":0,""atom_indices"":[20],""fragment_smiles"":""c""},{""center_atom"":21,""environment_radius"":0,""atom_indices"":[21],""fragment_smiles"":""c""},{""center_atom"":24,""environment_radius"":0,""atom_indices"":[24],""fragment_smiles"":""c""},{""center_atom"":25,""environment_radius"":0,""atom_indices"":[25],""fragment_smiles"":""c""},{""center_atom"":33,""environment_radius"":0,""atom_indices"":[33],""fragment_smiles"":""c""},{""center_atom"":34,""environment_radius"":0,""atom_indices"":[34],""fragment_smiles"":""c""}]","[""c"", ""c"", ""c"", ""c"", ""c"", ""c""]",5,-0.014092016220092773,0.011315790494987647,-0.014007568359375,0.0,1.0,171.0,0.0,"{""42"": -0.023941516876220703, ""142"": -0.0012524127960205078, ""242"": -0.014007568359375, ""342"": -0.004548072814941406, ""442"": -0.02671051025390625}"
2773,factor_xa_01,r2_b216,2,216,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,1,False,"[12, 13, 14, 15]","[{""center_atom"":13,""environment_radius"":1,""atom_indices"":[12,13,14,15],""fragment_smiles"":""cc(Cl)c""}]","[""cc(Cl)c""]",5,-0.014106369018554688,0.01593596395624224,-0.011787891387939453,0.0,1.0,140.2,0.0,"{""42"": -0.011787891387939453, ""142"": -0.004384517669677734, ""242"": -0.0007491111755371094, ""342"": -0.012400388717651367, ""442"": -0.04120993614196777}"
2773,factor_xa_03,r3_b806,3,806,N=C(N)NCCCC(NC(=O)CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1=O)C(=O)c1nccs1,NC(=N)NCCCC(NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1ccc2ccccc2c1)C(=O)c1nccs1,0.879426069,0.0,1,10.1093/nar/gkv1072,1,False,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]","[{""center_atom"":28,""environment_radius"":3,""atom_indices"":[15,16,17,18,19,20,21,22,23,25,26,27,28],""fragment_smiles"":""ccc1cc(S(N)(=O)=O)ccc1c""}]","[""ccc1cc(S(N)(=O)=O)ccc1c""]",5,-0.014176750183105468,0.0248682306598042,-0.007438182830810547,0.2,0.8,155.0,0.0,"{""42"": 0.016231060028076172, ""142"": -0.051523685455322266, ""242"": -0.0214540958404541, ""342"": -0.007438182830810547, ""442"": -0.0066988468170166016}"
2773,factor_xa_07,r2_b1085,2,1085,N=C(N)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)N[C@H](CCCNC(=N)N)C(=O)c1nccs1,NC(=N)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)N[C@H](CCCNC(N)=N)C(=O)c1nccs1,-0.491361694,0.0,1,10.1093/nar/gkv1072,1,False,"[9, 12, 13, 14, 15, 17, 18]","[{""center_atom"":13,""environment_radius"":2,""atom_indices"":[9,12,13,14,15,17,18],""fragment_smiles"":""ccc(CS)cc""}]","[""ccc(CS)cc""]",5,-0.014305830001831055,0.009988785918225062,-0.013200521469116211,0.0,1.0,156.2,0.0,"{""42"": -0.026216745376586914, ""142"": -0.007121086120605469, ""242"": -0.013200521469116211, ""342"": -0.02244114875793457, ""442"": -0.0025496482849121094}"
2773,factor_xa_03,r3_b117,3,117,N=C(N)NCCCC(NC(=O)CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1=O)C(=O)c1nccs1,NC(=N)NCCCC(NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1ccc2ccccc2c1)C(=O)c1nccs1,0.879426069,0.0,1,10.1093/nar/gkv1072,1,False,"[7, 8, 9]","[{""center_atom"":8,""environment_radius"":1,""atom_indices"":[7,8,9],""fragment_smiles"":""CNC""}]","[""CNC""]",5,-0.014363336563110351,0.015060836486477701,-0.01656508445739746,0.2,0.8,172.2,0.0,"{""42"": -0.01656508445739746, ""142"": -0.031065702438354492, ""242"": -0.00337982177734375, ""342"": 0.004951000213623047, ""442"": -0.0257570743560791}"
2773,factor_xa_07,r2_b1104,2,1104,N=C(N)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)N[C@H](CCCNC(=N)N)C(=O)c1nccs1,NC(=N)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)N[C@H](CCCNC(N)=N)C(=O)c1nccs1,-0.491361694,0.0,1,10.1093/nar/gkv1072,2,True,"[0, 1, 31, 32]","[{""center_atom"":0,""environment_radius"":1,""atom_indices"":[0,1],""fragment_smiles"":""C=N""},{""center_atom"":32,""environment_radius"":1,""atom_indices"":[31,32],""fragment_smiles"":""C=N""}]","[""C=N"", ""C=N""]",5,-0.014367485046386718,0.02184830399778134,-0.012238502502441406,0.2,0.8,132.2,0.0,"{""42"": -0.0003418922424316406, ""142"": -0.014405488967895508, ""242"": 0.005665779113769531, ""342"": -0.012238502502441406, ""442"": -0.05051732063293457}"
2773,factor_xa_06,r2_b1104,2,1104,N=C(N)NCCC[C@@H](NC(=O)CN1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1=O)C(=O)c1nccs1,NC(=N)NCCC[C@@H](NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1ccc(Cl)cc1)C(=O)c1nccs1,0.721246399,0.0,1,10.1093/nar/gkv1072,1,False,"[0, 1]","[{""center_atom"":0,""environment_radius"":1,""atom_indices"":[0,1],""fragment_smiles"":""C=N""}]","[""C=N""]",5,-0.014377307891845704,0.015844261679954157,-0.009113073348999023,0.2,0.8,161.4,0.0,"{""42"": -0.006033420562744141, ""142"": -0.009113073348999023, ""242"": 0.00142669677734375, ""342"": -0.018487930297851562, ""442"": -0.03967881202697754}"
