training_dataset,compound_id,feature_count,seed_pair_count,mean_pairwise_spearman,mean_pairwise_top10_jaccard
2773,factor_xa_01,192,10,0.3897685348452379,0.09425524595803232
2773,factor_xa_02,201,10,0.31648529629082317,0.06369969040247678
2773,factor_xa_03,232,10,0.3294563213906117,0.10893901420217209
2773,factor_xa_04,231,10,0.31140140968476804,0.09176986584107327
2773,factor_xa_05,220,10,0.3134683849591182,0.09153766769865841
2773,factor_xa_06,222,10,0.280574574533952,0.08581871345029239
2773,factor_xa_07,195,10,0.3349918270242276,0.10497076023391813
