number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_best_epoch,user_attrs_output_dir,user_attrs_source,system_attrs_fixed_params,state
19,0.389445285974332,2026-07-25 14:44:14.275918,2026-07-25 14:46:47.013795,0 days 00:02:32.737877,64,0.0,7.747224798748346e-05,0.0001,24,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0019,,,COMPLETE
20,0.3819917156056345,2026-07-25 14:46:47.098196,2026-07-25 14:49:24.898256,0 days 00:02:37.800060,64,0.3,0.0001812899785399343,0.01,27,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0020,,,COMPLETE
21,0.38125008115637027,2026-07-25 14:49:25.103085,2026-07-25 14:52:50.174958,0 days 00:03:25.071873,64,0.3,7.240011658494299e-05,0.0001,44,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0021,,,COMPLETE
22,0.3888430447025917,2026-07-25 14:52:50.299257,2026-07-25 14:56:13.854195,0 days 00:03:23.554938,64,0.3,4.734309210056933e-05,0.0001,44,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0022,,,COMPLETE
23,0.38207030214325327,2026-07-25 14:56:13.961259,2026-07-25 14:58:53.910591,0 days 00:02:39.949332,64,0.3,0.00010711125563073091,0.0001,27,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0023,,,COMPLETE
24,0.3861840141873095,2026-07-25 14:58:53.988458,2026-07-25 15:03:16.830318,0 days 00:04:22.841860,64,0.3,3.3441749275009375e-05,0.0001,66,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0024,,,COMPLETE
25,0.3906627666055871,2026-07-25 15:03:16.901755,2026-07-25 15:05:51.045729,0 days 00:02:34.143974,64,0.3,7.920196480697408e-05,1e-05,26,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0025,,,COMPLETE
26,0.48950322127543927,2026-07-25 15:05:51.125579,2026-07-25 15:08:32.996264,0 days 00:02:41.870685,8,0.0,0.0018761306496493197,1e-06,12,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0026,,,COMPLETE
27,0.3938708840873878,2026-07-25 15:08:33.098609,2026-07-25 15:10:22.778301,0 days 00:01:49.679692,32,0.1,0.00015247864035770604,0.0,14,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0027,,,COMPLETE
28,0.3790690306275285,2026-07-25 15:10:22.874068,2026-07-25 15:13:08.314756,0 days 00:02:45.440688,16,0.3,2.3522425545963694e-05,0.01,30,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0028,,,COMPLETE
29,0.38187292160191,2026-07-25 15:13:08.437553,2026-07-25 15:15:42.720396,0 days 00:02:34.282843,16,0.1,1.691500953503403e-05,0.01,30,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0029,,,COMPLETE
