study,model,dataset,configuration,runs,batch_size,epochs_ran_mean,epochs_ran_std,best_epoch_mean,training_duration_sec_mean,training_duration_sec_std,training_duration_min_mean,mean_epoch_duration_sec_mean,subprocess_wall_clock_sec_mean,training_peak_gpu_memory_mb_mean,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_r2_mean,test_r2_std,test_pearson_mean,test_pearson_std,test_spearman_mean,test_spearman_std,test_ci_mean,test_ci_std
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,15,64,152.8,30.820215999984725,102.8,5189.894880290826,1072.1471407430913,86.4982480048471,33.94654359948765,5207.2806184895335,17004.3841796875,0.6826395600816622,0.2747944476131543,0.8112475095279704,0.16207484503307057,0.5937358256513786,0.16264714273123707,0.49475508041366373,0.23115576958168096,0.7031649030414429,0.15611249705709776,0.6769722856277176,0.18053496108304296,0.7563277492063298,0.07806893221038569
bicoa_2773_tuned,BiCoA-Net,2773,tuned,15,8,90.6,31.331864200613953,40.6,3995.488656167189,1398.6728126756557,66.59147760278648,44.03123847217686,4010.179179815203,17004.437369791667,0.8598344354300385,0.7781442289658597,0.8456171036044283,0.39383573831388874,0.6690637912217617,0.3669331129459845,0.22006806549380228,0.6309466560660574,0.6691309735390966,0.21274735883598905,0.6604615097634279,0.17743799937177443,0.7478689474895581,0.07654888397537224
moe_kinetx_tuned,MoE,KinetX,tuned,15,64,28.8,12.582300493720762,18.933333333333334,502.7519987352192,222.65528007528746,8.37919997892032,17.38058399363482,516.4122929722071,23.482421875,0.9242480101560486,0.43036830042217494,0.936904661204444,0.22310551468203735,0.7223018288244417,0.21334572780772157,0.30507429726147467,0.3998640424047181,0.640848955335855,0.1891010012084594,0.636706588296158,0.22804260042760885,0.7375028613693719,0.09365411966098426
