dataset,csv,cache_key,cache_hit_before_run,precompute_duration_sec
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/train_run1.csv,f432dd78411cb04aae30,False,190.9797322191298
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/val_run1.csv,f7b36a687c95ffb99e2f,False,27.224303741008043
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/test_run1.csv,752a618f028b8e7f669c,False,54.009184435009956
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/train_run2.csv,36d263e941fd0533b823,False,190.04062828049064
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/val_run2.csv,4aed53583a2a4f7ae91e,False,27.77843263372779
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/test_run2.csv,05f8ad4612a0068ee263,False,53.980177976191044
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/train_run3.csv,14ec72ea883532373f8a,False,190.30875943601131
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/val_run3.csv,8745567c0fa982807ffb,False,27.10205313935876
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/test_run3.csv,1bc41aa2f714c67804ea,False,54.56627441570163
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/train_run4.csv,6c4eeb73b0b861420c48,False,190.89295327290893
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/val_run4.csv,c3df2f21251435f9267b,False,27.512953460216522
KinetX,<PROJECT_ROOT>/KinetX/random_split_mgca_input/test_run4.csv,a241b8a335b44b562496,False,53.6861759647727
