scope,runs_per_model,mgca_batch_size,moe_batch_size,mgca_epochs_mean,moe_epochs_mean,mgca_training_sec_mean,mgca_training_sec_std,moe_training_sec_mean,moe_training_sec_std,ratio_of_mean_training_time_moe_over_mgca,paired_training_speedup_mean,paired_training_speedup_std,mgca_sec_per_epoch_mean,moe_sec_per_epoch_mean,per_epoch_ratio_of_means_moe_over_mgca,subprocess_ratio_of_means_moe_over_mgca,mgca_peak_gpu_memory_mb_mean,moe_peak_gpu_memory_mb_mean,status
warm,5,64,64,59.8,42.4,93.07334735840558,24.211573143102395,746.5150470077991,94.2939995458763,8.020717726344676,8.818612657554533,3.909500318606795,1.5589887276746262,17.657696155150536,11.326378338532697,7.3029193392841965,701.5029296875,23.482421875,controlled aligned timing; native tuned batch sizes and stopping schedules
drug_cold,5,64,64,32.8,27.4,50.56001565232873,11.013671136355827,479.2294312261045,153.11262348755182,9.478427271887757,9.316000608101483,1.6829475219017604,1.5447683726492274,17.48264849683295,11.317326795635244,8.048138916114546,701.5029296875,23.482421875,controlled aligned timing; native tuned batch sizes and stopping schedules
protein_cold,5,64,64,23.4,16.6,36.838005252182484,2.8154429440391047,282.5115179717541,74.69584307017288,7.6690232285315325,7.823400498735529,2.807309399242345,1.5736802161590238,17.001407328920966,10.803597296544355,6.3336612309934335,701.5029296875,23.482421875,controlled aligned timing; native tuned batch sizes and stopping schedules
