split,run,mgca_seed,moe_seed,mgca_epochs_ran,moe_epochs_ran,mgca_training_sec,moe_training_sec,training_speedup_moe_over_mgca,mgca_sec_per_epoch,moe_sec_per_epoch,per_epoch_speedup_moe_over_mgca,mgca_subprocess_sec,moe_subprocess_sec,subprocess_speedup_moe_over_mgca
warm,1,42,42,66,50,100.99292603135109,875.8447723388672,8.672337823611329,1.530195848959865,17.516895446777344,11.447485927166953,111.04180069640279,889.6276435926557,8.011646407148683
warm,2,42,42,62,42,103.86341364681721,731.7094888016582,7.044920469202012,1.675216349142213,17.421654495277576,10.399644502155352,115.0072280652821,744.5304876081645,6.473771258842471
warm,3,42,42,70,42,105.26416038349271,734.2495273463428,6.975304079483126,1.5037737197641816,17.48213160348435,11.625506799138543,115.91819820925593,747.1116451509297,6.4451626810334055
warm,4,42,42,69,33,105.36857533827424,614.0186767205596,5.827341546085444,1.5270808020039746,18.606626567289684,12.184441414542292,117.3192545697093,627.1391288265586,5.345577169977006
warm,5,42,42,32,45,49.877661392092705,776.752769831568,15.573159369390755,1.558676918502897,17.261172662923734,11.07424666267787,60.858921468257904,790.1710176952183,12.983651346949134
drug_cold,1,42,42,45,36,64.30896276980639,618.6921264305711,9.620620513584965,1.429088061551253,17.1858924008492,12.025775641981207,74.95469428598881,632.9427973553538,8.44433832176498
drug_cold,2,42,42,32,29,52.271402686834335,501.9139958359301,9.602076279509289,1.633481333963573,17.30737916675621,10.595394515320594,63.077070735394955,514.6072793677449,8.158388989344413
drug_cold,3,42,42,26,14,37.31234189867973,239.0434993840754,6.406553092625198,1.4350900730261436,17.0745356702911,11.89788431487537,47.816680025309324,251.7538121007383,5.26497891462739
drug_cold,4,42,42,32,34,57.04620223864913,599.1041011363268,10.502085636306045,1.7826938199577853,17.620708856950788,9.884315892993925,67.61271246522665,612.4587554559112,9.058337302632252
drug_cold,5,42,42,29,24,41.861168667674065,437.3934333436191,10.44866751848192,1.4434885747473816,18.224726389317464,12.625473251498988,52.508355248719454,450.7224985137582,8.583824352882395
protein_cold,1,42,42,23,15,36.956115398555994,261.88159514963627,7.086285783160773,1.6067876260241736,17.45877300997575,10.865638200846519,47.531939558684826,276.5958173163235,5.819156968648993
protein_cold,2,142,142,23,15,37.815242134034634,250.662519518286,6.628610723417361,1.644140962349332,16.7108346345524,10.163869775906619,47.711003828793764,264.8433639407158,5.550991232359732
protein_cold,3,242,242,24,13,37.34680066630244,219.50037219002843,5.877354104606901,1.5561166944292684,16.88464401461757,10.850499885428126,47.39293424412608,233.91405214369297,4.935631352529823
protein_cold,4,342,342,23,24,32.215435065329075,411.8056297004223,12.782867245633325,1.4006710897969163,17.158567904184263,12.250247777065269,42.05922627821565,426.31838642805815,10.136144293478539
protein_cold,5,442,442,24,16,39.85643299669027,268.7074733003974,6.741884636859279,1.6606847081954281,16.794217081274837,10.112826955288918,49.785281881690025,283.4477090872824,5.693403720418193
