study,split,model,dataset,configuration,runs,batch_size,epochs_ran_mean,epochs_ran_std,best_epoch_mean,training_duration_sec_mean,training_duration_sec_std,training_duration_min_mean,mean_epoch_duration_sec_mean,subprocess_wall_clock_sec_mean,training_peak_gpu_memory_mb_mean,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_r2_mean,test_r2_std,test_pearson_mean,test_pearson_std,test_spearman_mean,test_spearman_std,test_ci_mean,test_ci_std
bicoa_kinetx_default,warm,BiCoA-Net,KinetX,published/default,5,64,168.0,37.19542982679458,118.0,5673.86332571879,1306.516046166423,94.56438876197984,33.728143865558216,5691.025772209466,17004.25908203125,0.4319594154468052,0.045561694526720126,0.6565116573623675,0.0344938254279385,0.440257515032357,0.0164794207153101,0.6965257722619882,0.025352217181511844,0.8352763959803011,0.014983182412903256,0.830866156182983,0.01371743738787874,0.8269434598943889,0.0073834879181796
bicoa_kinetx_default,drug_cold,BiCoA-Net,KinetX,published/default,5,64,140.6,25.33377192602791,90.6,4685.916652544588,827.8959928053115,78.09861087574313,33.33961557218568,4703.098765841872,17004.44677734375,0.5747747196461735,0.06116217988290252,0.7572952609898553,0.039978233585296535,0.5339450051109216,0.02657655243649927,0.5988543701966771,0.046335893795014536,0.778566452101549,0.02730352177519312,0.7642916273587629,0.015560416340895868,0.7891772782674518,0.00802512414909511
bicoa_kinetx_default,protein_cold,BiCoA-Net,KinetX,published/default,5,64,149.8,28.51666179622012,99.8,5209.9046626091,1009.9888064321975,86.83174437681834,34.77187136071905,5227.717317417264,17004.4466796875,1.0411845451520076,0.0684685912379882,1.0199356102316885,0.03383593011357918,0.8070049568108576,0.02904515007002655,0.1888850987823261,0.05333914614570668,0.4956518610424784,0.0397276297529119,0.4357590733414073,0.04219007218318609,0.6528625094571486,0.01579011134720613
bicoa_2773_tuned,warm,BiCoA-Net,2773,tuned,5,8,115.0,35.46124645299429,65.0,5064.57607492283,1490.1637472485493,84.40960124871384,44.18384725417835,5079.076638993621,17004.6416015625,0.2906912970341442,0.036734808307219306,0.5383057036465614,0.033879685205974015,0.3768605846982935,0.01207414591947144,0.6923836521637184,0.04216305325575081,0.833356754886491,0.024350400461174756,0.8143608405720121,0.021095256169943646,0.8189368750469879,0.009327992577102366
bicoa_2773_tuned,drug_cold,BiCoA-Net,2773,tuned,5,8,86.0,29.317230428538096,36.0,3891.8119222044943,1380.215011922432,64.86353203674157,45.1265438612351,3906.901839336008,17004.52900390625,0.3915233954648389,0.057280016777809174,0.6243941683429423,0.0454878830591772,0.46793877037815196,0.03803836591151557,0.5852906654726702,0.059676891254979804,0.7693595922755944,0.03591637665887628,0.7238910155531281,0.03997805666445425,0.7712798869362454,0.01905946238172432
bicoa_2773_tuned,protein_cold,BiCoA-Net,2773,tuned,5,8,70.8,7.628892449104261,20.8,3030.0779713742436,338.045930221448,50.50129952290406,42.78332430111714,3044.55906111598,17004.14150390625,1.8972886137911325,0.30035180101421793,1.3741514388237814,0.10604501974199532,1.1623920185888401,0.09021402745444165,-0.6174701211549817,0.2560549093291853,0.4046765734552046,0.151136001866168,0.44313267316514393,0.12031806190109799,0.653390080485441,0.04361837659096133
moe_kinetx_tuned,warm,MoE,KinetX,tuned,5,64,42.4,6.188699378706321,32.8,746.5150470077991,94.2939995458763,12.441917450129985,17.657696155150536,759.7159845747053,23.482421875,0.5320642255965868,0.0927083290501756,0.7272698774699498,0.06267725785154302,0.5341827312337488,0.03111750474896656,0.6500289585327447,0.044067275407674626,0.8097236702338495,0.02449331441141122,0.8246144545706091,0.023445673647898273,0.8184513782134945,0.011684433959480722
moe_kinetx_tuned,drug_cold,MoE,KinetX,tuned,5,64,27.4,8.820430828479978,17.4,479.2294312261045,153.11262348755182,7.987157187101742,17.48264849683295,492.4970285587013,23.482421875,0.8153292425308738,0.3341392480376022,0.8899725280532162,0.1705804130074761,0.6326623731464823,0.07301173646368253,0.4878927257441127,0.11743730699801988,0.7127339938961775,0.0897567869127932,0.7523199776598191,0.0364348380910214,0.7803978014164586,0.019710516705386302
moe_kinetx_tuned,protein_cold,MoE,KinetX,tuned,5,64,16.6,4.277849927241488,6.6,282.5115179717541,74.69584307017288,4.708525299529234,17.001407328920966,297.02386578321455,23.482421875,1.4253505623406852,0.08394167261636737,1.1934715780901661,0.034931265215655725,1.000060382093094,0.047865276944651446,-0.2226987924924333,0.07200711492285906,0.4000892018775378,0.04400821881048759,0.3331853326580462,0.06429293355101665,0.613659404478163,0.02261634127844868
