trial,config_id,mean,sd,run1,run2,run3,run4,run5,lr,weight_decay,batch_size,dropout,window_size,drug_gate_init,joint_gate_init
13,fff1fba29643b61388ed594917af392c3cca719af191319001d6244b5fcc2134,0.35757296085357665,0.06812525655383729,0.2727300822734833,0.3406502902507782,0.4354281425476074,0.32088541984558105,0.41817086935043335,2.432667795899065e-05,0.001,16,0.1,8,0.4,0.05
16,1f46eda61cdc31b36d5667b917fb21d761d267dab634d540baf8637107667443,0.3596962869167328,0.06729915109378606,0.2755467891693115,0.32150378823280334,0.4398747980594635,0.34716683626174927,0.4143892228603363,2.0323874152042762e-05,0.001,16,0.05,8,0.4,0.05
14,419585c72a634bf5f8963904d94da111ddeb6ae433a9b4d52a06ef6d72c8349a,0.36150830388069155,0.07645928243451991,0.27779528498649597,0.32735303044319153,0.4695000946521759,0.32462170720100403,0.4082714021205902,1.934309709335361e-05,0.001,16,0.17,8,0.4,0.05
23,c5cb907976b967e70459041fba426dc9494f6c9562372252645d551c04bddc64,0.37332860827445985,0.07556728887769774,0.27820590138435364,0.340095192193985,0.43056750297546387,0.3502197265625,0.4675547182559967,2.824620923240468e-05,0.001,16,0.17,8,0.4,0.05
29,c9404d6d55835b0e46741f69ad1f411714554c0727e138a06bd4a21a4b615d37,0.36660839319229127,0.07388313004646145,0.2799895703792572,0.3445751667022705,0.4374997317790985,0.32181745767593384,0.44916003942489624,2.3836232013589212e-05,0.001,16,0.17,8,0.4,0.05
