trial,val_mse,output_dir,lr,weight_decay,batch_size,dropout,window_size,drug_gate_init,joint_gate_init
18,0.31785720586776733,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/f54ddc41a71cbf61d18e99cc72f70c5fea39e6bf83986a32c062291a76ddda8f/run1,2.7032032366040876e-05,0.01,64,0.05,8,0.4,0.05
19,0.3050132691860199,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/a47bbfc499b98c27de807ae88def8b2f8fd98fa41b8ec9cbeb008d8a0a8f1f8b/run1,0.0001287760912038848,0.001,32,0.2,8,0.4,0.05
20,0.28646790981292725,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/406cd6c05b9c3baa6265519a481d4d90cb2f5c1059815ca8598d7a47a30f760a/run1,1.5199303478096073e-05,0.001,16,0.3,8,0.4,0.3
21,0.28090664744377136,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/a270d5e828d674c9eadaee5374eaa9156539ae41e5b502911772caf89f859885/run1,1.819956651734253e-05,0.001,16,0.15,8,0.4,0.05
22,0.29917848110198975,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/84564d6d051aa22c8bd402b9dfe7fd74e9f178133be23323263e21885f09a2f1/run1,5.636504395660172e-05,0.001,16,0.1,8,0.4,0.05
23,0.27820590138435364,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/c5cb907976b967e70459041fba426dc9494f6c9562372252645d551c04bddc64/run1,2.824620923240468e-05,0.001,16,0.17,8,0.4,0.05
24,0.3199339210987091,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/75412a3dd01c9406e9dec3408dc1689295cfb6934b6f961456e9bdc5dff4fdcf/run1,1.707155406989251e-05,0.001,16,0.05,8,0.05,0.5
25,0.2984846532344818,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/018e44040811414365405605eccd882e86aed2d6e26138fb7cc99ea9b92178f2/run1,1.0060901224400554e-05,0.001,16,0.05,8,0.3,0.02
26,0.3165838420391083,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/b3a2a617639f0614af402459fda761d62e5f521fd208b6dc59b7057c52623f20/run1,3.417407041104207e-05,0.0,16,0.17,1,0.02,0.2
27,0.3170543611049652,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/7494372aaf4b0b8b6a00234c2f3d1bfe96d92ee652fcb411e644a34dca42fb53/run1,2.005177624734194e-05,1e-06,32,0.1,6,0.01,0.05
28,0.3155387341976166,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/cdf3ec96fdc7338e5ee4ca58a04fb22ff757b90c0391037c07573ac88dfc192f/run1,1.3188366241673005e-05,0.01,64,0.15,8,0.4,0.05
29,0.2799895703792572,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/c9404d6d55835b0e46741f69ad1f411714554c0727e138a06bd4a21a4b615d37/run1,2.3836232013589212e-05,0.001,16,0.17,8,0.4,0.05
